no,in_InitializeSqlSet,in_QueueItem,expected_MailQueueSet,expected_TableData,expected_FailureBlobFileSet,expected_LogMessages,remarks
1,TestData\Azure.Functions\AlarmRegister\001\initial.SQL,TestData\Azure.Functions\AlarmRegister\001\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\001\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\001\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\001\expected.logs.txt,
2,TestData\Azure.Functions\AlarmRegister\002\initial.SQL,TestData\Azure.Functions\AlarmRegister\002\input.alarmqueue.json,TestData\Azure.Functions\AlarmRegister\002\expected.MailQueue,TestData\Azure.Functions\AlarmRegister\002\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\002\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\002\expected.logs.txt,
3,TestData\Azure.Functions\AlarmRegister\003\initial.SQL,TestData\Azure.Functions\AlarmRegister\003\input.alarmqueue.json,TestData\Azure.Functions\AlarmRegister\003\expected.MailQueue,TestData\Azure.Functions\AlarmRegister\003\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\003\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\003\expected.logs.txt,
4,TestData\Azure.Functions\AlarmRegister\004\initial.SQL,TestData\Azure.Functions\AlarmRegister\004\input.alarmqueue.json,TestData\Azure.Functions\AlarmRegister\004\expected.MailQueue,TestData\Azure.Functions\AlarmRegister\004\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\004\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\004\expected.logs.txt,
5,TestData\Azure.Functions\AlarmRegister\005\initial.SQL,TestData\Azure.Functions\AlarmRegister\005\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\005\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\005\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\005\expected.logs.txt,
6,TestData\Azure.Functions\AlarmRegister\006\initial.SQL,TestData\Azure.Functions\AlarmRegister\006\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\006\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\006\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\006\expected.logs.txt,
7,TestData\Azure.Functions\AlarmRegister\007\initial.SQL,TestData\Azure.Functions\AlarmRegister\007\input.alarmqueue.json,TestData\Azure.Functions\AlarmRegister\007\expected.MailQueue,TestData\Azure.Functions\AlarmRegister\007\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\007\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\007\expected.logs.txt,
8,TestData\Azure.Functions\AlarmRegister\008\initial.SQL,TestData\Azure.Functions\AlarmRegister\008\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\008\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\008\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\008\expected.logs.txt,
9,TestData\Azure.Functions\AlarmRegister\009\initial.SQL,TestData\Azure.Functions\AlarmRegister\009\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\009\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\009\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\009\expected.logs.txt,
10,TestData\Azure.Functions\AlarmRegister\010\initial.SQL,TestData\Azure.Functions\AlarmRegister\010\input.alarmqueue.json,TestData\Azure.Functions\AlarmRegister\010\expected.MailQueue,TestData\Azure.Functions\AlarmRegister\010\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\010\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\010\expected.logs.txt,
11,TestData\Azure.Functions\AlarmRegister\011\initial.SQL,TestData\Azure.Functions\AlarmRegister\011\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\011\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\011\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\011\expected.logs.txt,
12,TestData\Azure.Functions\AlarmRegister\012\initial.SQL,TestData\Azure.Functions\AlarmRegister\012\input.alarmqueue.json,TestData\Azure.Functions\AlarmRegister\012\expected.MailQueue,TestData\Azure.Functions\AlarmRegister\012\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\012\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\012\expected.logs.txt,
13,TestData\Azure.Functions\AlarmRegister\013\initial.SQL,TestData\Azure.Functions\AlarmRegister\013\input.alarmqueue.json,TestData\Azure.Functions\AlarmRegister\013\expected.MailQueue,TestData\Azure.Functions\AlarmRegister\013\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\013\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\013\expected.logs.txt,
14,TestData\Azure.Functions\AlarmRegister\014\initial.SQL,TestData\Azure.Functions\AlarmRegister\014\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\014\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\014\expected.FailureBlob,,
15,TestData\Azure.Functions\AlarmRegister\015\initial.SQL,TestData\Azure.Functions\AlarmRegister\015\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\015\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\015\expected.FailureBlob,,
16,TestData\Azure.Functions\AlarmRegister\016\initial.SQL,TestData\Azure.Functions\AlarmRegister\016\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\016\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\016\expected.FailureBlob,,
17,TestData\Azure.Functions\AlarmRegister\017\initial.SQL,TestData\Azure.Functions\AlarmRegister\017\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\017\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\017\expected.FailureBlob,,
18,TestData\Azure.Functions\AlarmRegister\018\initial.SQL,TestData\Azure.Functions\AlarmRegister\018\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\018\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\018\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\018\expected.logs.txt,
19,TestData\Azure.Functions\AlarmRegister\019\initial.SQL,TestData\Azure.Functions\AlarmRegister\019\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\019\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\019\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\019\expected.logs.txt,
20,TestData\Azure.Functions\AlarmRegister\020\initial.SQL,TestData\Azure.Functions\AlarmRegister\020\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\020\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\020\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\020\expected.logs.txt,
21,TestData\Azure.Functions\AlarmRegister\021\initial.SQL,TestData\Azure.Functions\AlarmRegister\021\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\021\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\021\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\021\expected.logs.txt,
22,TestData\Azure.Functions\AlarmRegister\022\initial.SQL,TestData\Azure.Functions\AlarmRegister\022\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\022\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\022\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\022\expected.logs.txt,
23,TestData\Azure.Functions\AlarmRegister\023\initial.SQL,TestData\Azure.Functions\AlarmRegister\023\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\023\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\023\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\023\expected.logs.txt,
24,TestData\Azure.Functions\AlarmRegister\024\initial.SQL,TestData\Azure.Functions\AlarmRegister\024\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\024\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\024\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\024\expected.logs.txt,
25,TestData\Azure.Functions\AlarmRegister\025\initial.SQL,TestData\Azure.Functions\AlarmRegister\025\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\025\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\025\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\025\expected.logs.txt,
26,TestData\Azure.Functions\AlarmRegister\026\initial.SQL,TestData\Azure.Functions\AlarmRegister\026\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\026\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\026\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\026\expected.logs.txt,
27,TestData\Azure.Functions\AlarmRegister\027\initial.SQL,TestData\Azure.Functions\AlarmRegister\027\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\027\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\027\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\027\expected.logs.txt,
28,TestData\Azure.Functions\AlarmRegister\028\initial.SQL,TestData\Azure.Functions\AlarmRegister\028\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\028\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\028\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\028\expected.logs.txt,
29,TestData\Azure.Functions\AlarmRegister\029\initial.SQL,TestData\Azure.Functions\AlarmRegister\029\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\029\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\029\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\029\expected.logs.txt,
30,TestData\Azure.Functions\AlarmRegister\030\initial.SQL,TestData\Azure.Functions\AlarmRegister\030\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\030\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\030\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\030\expected.logs.txt,
31,TestData\Azure.Functions\AlarmRegister\031\initial.SQL,TestData\Azure.Functions\AlarmRegister\031\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\031\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\031\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\031\expected.logs.txt,
32,TestData\Azure.Functions\AlarmRegister\032\initial.SQL,TestData\Azure.Functions\AlarmRegister\032\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\032\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\032\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\032\expected.logs.txt,
33,TestData\Azure.Functions\AlarmRegister\033\initial.SQL,TestData\Azure.Functions\AlarmRegister\033\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\033\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\033\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\033\expected.logs.txt,
34,TestData\Azure.Functions\AlarmRegister\034\initial.SQL,TestData\Azure.Functions\AlarmRegister\034\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\034\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\034\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\034\expected.logs.txt,
35,TestData\Azure.Functions\AlarmRegister\035\initial.SQL,TestData\Azure.Functions\AlarmRegister\035\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\035\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\035\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\035\expected.logs.txt,
36,TestData\Azure.Functions\AlarmRegister\036\initial.SQL,TestData\Azure.Functions\AlarmRegister\036\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\036\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\036\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\036\expected.logs.txt,
37,TestData\Azure.Functions\AlarmRegister\037\initial.SQL,TestData\Azure.Functions\AlarmRegister\037\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\037\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\037\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\037\expected.logs.txt,
38,TestData\Azure.Functions\AlarmRegister\038\initial.SQL,TestData\Azure.Functions\AlarmRegister\038\input.alarmqueue.json,,TestData\Azure.Functions\AlarmRegister\038\operation.DT_ALARM.csv,TestData\Azure.Functions\AlarmRegister\038\expected.FailureBlob,TestData\Azure.Functions\AlarmRegister\038\expected.logs.txt,
